date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:46:50	21525/21525	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:46:47%20GMT	http://killtowndeathfest.com/2019/02/20/announcement-40-grave-swe-performing-an-old-school-set-of-demo-tracks-and-songs-from-into-the-grave-thursday-5th-september/	web/index-19.html	(from http://killtowndeathfest.com/news/)
22:46:50	22410/22410	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:46:47%20GMT	http://killtowndeathfest.com/2019/02/18/announcement-39-the-mighty-funebrarum-us-returns-to-ktdf/	web/index-20.html	(from http://killtowndeathfest.com/news/)
22:46:53	44964/44964	---M--	200	added ('OK')	application/octet-stream	etag:%225c34f795-afa4%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/fonts/bebas-webfont.ttf	web/images/bebas-webfont.ttf	(from http://killtowndeathfest.com/wp-content/themes/ktdf-theme/style.css)
22:46:54	37414/37414	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c34f795-9226%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/fonts/bebas-webfont.svg	web/images/bebas-webfont.svg	(from http://killtowndeathfest.com/wp-content/themes/ktdf-theme/style.css)
22:46:54	22004/22004	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:46:51%20GMT	http://killtowndeathfest.com/2019/02/17/announcement-38-european-mainland-exclusive-one-off-for-mitochondrion-can/	web/index-21.html	(from http://killtowndeathfest.com/news/)
22:46:54	20591/20591	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:46:51%20GMT	http://killtowndeathfest.com/2019/02/16/anouncement-37-first-show-since-2014-for-swedens-necrovation/	web/index-22.html	(from http://killtowndeathfest.com/news/)
22:46:54	1926/1926	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225c34f795-786%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/images/dropdown.jpg	web/images/dropdown.jpg	(from http://killtowndeathfest.com/wp-content/themes/ktdf-theme/style.css)
22:46:55	21475/21475	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:46:54%20GMT	http://killtowndeathfest.com/2019/02/15/announcement-36-one-off-exclusive-european-show-for-anatomia/	web/index-23.html	(from http://killtowndeathfest.com/news/)
22:46:56	23079/23079	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:46:55%20GMT	http://killtowndeathfest.com/2019/02/12/announcement-33-presenting-the-very-first-and-exclusive-one-off-european-performance-of-funeral-moth-jp-as-part-of-gloomy-sunday/	web/index-26.html	(from http://killtowndeathfest.com/news/)
22:46:56	21205/21205	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:46:55%20GMT	http://killtowndeathfest.com/2019/02/13/announcement-34-presenting-the-first-ever-european-performance-of-black-curse-us/	web/index-25.html	(from http://killtowndeathfest.com/news/)
22:46:57	20483/20483	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:46:55%20GMT	http://killtowndeathfest.com/2019/02/14/announcement-35-assumption-it/	web/index-24.html	(from http://killtowndeathfest.com/news/)
22:46:57	52460/52460	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:46:55%20GMT	http://killtowndeathfest.com/news/page/2/	web/index-27.html	(from http://killtowndeathfest.com/news/)
22:46:58	16625/16625	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:46:57%20GMT	http://killtowndeathfest.com/2019/07/	web/index-28.html	(from http://killtowndeathfest.com/news/)
22:46:58	6311/6311	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225c34f795-18a7%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/images/slider-bar-bg.jpg	web/images/slider-bar-bg.jpg	(from http://killtowndeathfest.com/wp-content/themes/ktdf-theme/style.css)
22:47:00	53580/53580	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:46:58%20GMT	http://killtowndeathfest.com/2019/02/	web/index-29.html	(from http://killtowndeathfest.com/news/)
22:47:00	51218/51218	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:46:58%20GMT	http://killtowndeathfest.com/2019/01/	web/index-30.html	(from http://killtowndeathfest.com/news/)
22:47:00	1196/1196	---M--	200	added ('OK')	image/png	etag:%225c34f795-4ac%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/images/slider-buttons.png	web/images/slider-buttons.png	(from http://killtowndeathfest.com/wp-content/themes/ktdf-theme/style.css)
22:47:01	22246/22246	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:47:00%20GMT	http://killtowndeathfest.com/2018/09/	web/index-31.html	(from http://killtowndeathfest.com/news/)
22:47:05	20297/20297	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:47:02%20GMT	http://killtowndeathfest.com/2018/07/	web/index-33.html	(from http://killtowndeathfest.com/news/)
22:47:05	44305/44305	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:47:02%20GMT	http://killtowndeathfest.com/2018/02/	web/index-34.html	(from http://killtowndeathfest.com/news/)
22:47:06	28586/28586	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:47:04%20GMT	http://killtowndeathfest.com/2018/08/	web/index-32.html	(from http://killtowndeathfest.com/news/)
22:47:06	425/425	---M--	200	added ('OK')	image/png	etag:%225c34f795-1a9%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/images/share-this.png	web/images/share-this.png	(from http://killtowndeathfest.com/wp-content/themes/ktdf-theme/style.css)
22:47:08	44635/44635	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jan%202020%2021:47:06%20GMT	http://killtowndeathfest.com/2018/01/	web/index-35.html	(from http://killtowndeathfest.com/news/)
22:47:12	27695/27695	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225c34f795-6c2f%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/images/footer.jpg	web/images/footer.jpg	(from http://killtowndeathfest.com/wp-content/themes/ktdf-theme/style.css)
22:47:16	38914/38914	---M--	200	added ('OK')	image/png	etag:%225c34f795-9802%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/foxhound/images/icons-header.png	web/images/icons-header.png	(from http://killtowndeathfest.com/wp-content/themes/ktdf-theme/foxhound/css/social-icons.css?ver=4.9.9)
22:47:17	133611/133611	---M--	200	added ('OK')	image/png	etag:%225c34f795-209eb%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/images/icons.png	web/images/icons.png	(from http://killtowndeathfest.com/wp-content/themes/ktdf-theme/style.css)
22:47:17	25878/25878	---M--	200	added ('OK')	image/gif	etag:%225c34f795-6516%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/images/bg-2.gif	web/images/bg-2.gif	(from http://killtowndeathfest.com/wp-content/themes/ktdf-theme/css/green.css?ver=4.9.9)
22:47:17	221/221	---M--	200	added ('OK')	image/png	etag:%225c34f795-dd%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/images/menu-green.png	web/images/menu-green.png	(from http://killtowndeathfest.com/wp-content/themes/ktdf-theme/css/green.css?ver=4.9.9)
22:47:18	378/378	---M--	200	added ('OK')	image/png	etag:%225c34f795-17a%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/images/arrows-green.png	web/images/arrows-green.png	(from http://killtowndeathfest.com/wp-content/themes/ktdf-theme/css/green.css?ver=4.9.9)
22:47:18	1244/1244	---M--	200	added ('OK')	image/png	etag:%225c34f795-4dc%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/images/comment-arrow-green.png	web/images/comment-arrow-green.png	(from http://killtowndeathfest.com/wp-content/themes/ktdf-theme/css/green.css?ver=4.9.9)
22:47:24	3027/3027	---M--	200	added ('OK')	image/png	etag:%225c34f795-bd3%22	http://killtowndeathfest.com/wp-content/plugins/social-sharing-toolkit/images/delicious_counters.png	web/images/delicious_counters.png	(from http://killtowndeathfest.com/wp-content/plugins/social-sharing-toolkit/style_2.1.2.css?ver=4.9.9)
22:47:24	24664/24664	---MCZ	200	added ('OK')	image/jpeg	etag:W/%225c34f795-6058%22	http://killtowndeathfest.com/wp-content/themes/ktdf-theme/images/footer-green.jpg	web/images/footer-green.jpg	(from http://killtowndeathfest.com/wp-content/themes/ktdf-theme/css/green.css?ver=4.9.9)
